PC1,PC2,PC3,PC4,player,team,cluster,Market value,position,dob,Market value (M)
2.835273926126827,-3.197828826263939,0.740633055512334,0.7197662997686014,Abdelrahman Saidi,Degerfors IF,6,€400Th.,Left Winger,1999-08-13,0.4
2.8233474643399656,-1.7839149582826441,-1.7135324425652023,0.9892262049221351,Abdul Rahman Khalili,Hammarby IF,8,€1.20m,Central Midfield,1992-06-07,1.2
1.4879158038028777,-1.8244371221642313,-0.27333749728444934,-0.5963098584742865,Abdulrazaq Ishaq,IFK Norrköping,1,€700Th.,Right Midfield,2002-05-05,0.7000000000000001
0.16173077756345644,0.8068542050198838,-1.4261522782063596,0.42480700929027915,Adam Carlén,Degerfors IF,7,€350Th.,Central Midfield,2000-06-27,0.35000000000000003
0.8888129421309843,0.6876107218191476,-3.2409144242492225,-0.013958082733104313,Adam Hellborg,IK Sirius,7,€600Th.,Defensive Midfield,1998-07-30,0.6
-4.390507217694945,-0.6042784030792336,-0.5521081266742851,-0.7570284979548492,Adam Petersson,Mjällby AIF,5,€200Th.,Central Midfield,2000-08-25,0.2
2.0268550546898334,-2.940354061592733,1.441095389850472,-0.2256943281551591,Adam Ståhl,IK Sirius,6,€300Th.,Right-Back,1994-10-08,0.3
-5.025475460088645,-0.046179905585248725,-0.02963851665871079,-1.4681586979393781,Adam Vikman,IK Sirius,5,,Central Midfield,2003-12-15,
4.7008256339492265,-1.8387297250318262,3.9233284325898183,-2.1452762853912737,Adama Fofana,Varbergs BoIS,6,€500Th.,Left-Back,1999-10-11,0.5
-4.4724226256378214,-0.8366259760539626,0.43676519796811464,-0.49502936431823524,Adhavan Rajamohan,Degerfors IF,5,€100Th.,Right Winger,1993-02-21,0.1
1.9152702917238893,-2.2995012156696752,1.7983842005102553,0.3807820301957734,Adi Nalic,Malmö FF,6,€750Th.,Attacking Midfield,1997-12-01,0.75
