player;team;Height;Foot;Market value;position;dob
Alexander Milošević;AIK Solna;1,93 m;right;€700Th.;Centre-Back;1992-01-30
Bilal Hussein;AIK Solna;1,83 m;right;€1.20m;Central Midfield;2000-04-22
Bojan Radulovic Samoukovic;AIK Solna;1,92 m;right;€200Th.;Centre-Forward;1999-12-29
Budimir Janosevic;AIK Solna;1,90 m;right;€300Th.;Goalkeeper;1989-10-21
Ebenezer Ofori;AIK Solna;1,72 m;left;€400Th.;Defensive Midfield;1995-07-01
Erick Ouma Otieno;AIK Solna;1,70 m;left;€800Th.;Left-Back;1996-09-27
Erik Ring;AIK Solna;m;;€200Th.;Left Winger;2002-04-24
Filip Rogic;AIK Solna;1,82 m;both;€600Th.;Central Midfield;1993-06-14
Henok Goitom;AIK Solna;1,89 m;right;€300Th.;Centre-Forward;1984-09-22
Jetmir Haliti;AIK Solna;1,88 m;;€250Th.;Centre-Back;1996-09-14
Kristoffer Nordfeldt;AIK Solna;1,90 m;right;€900Th.;Goalkeeper;1989-06-23
Mikael Lustig;AIK Solna;1,89 m;right;€500Th.;Right-Back;1986-12-13
Nabil Bahoui;AIK Solna;1,88 m;right;€500Th.;Centre-Forward;1991-02-05
Nicolas Stefanelli;AIK Solna;1,66 m;right;€750Th.;Centre-Forward;1994-11-22
Per Karlsson;AIK Solna;1,84 m;right;€200Th.;Centre-Back;1986-01-02
Saku Ylätupa;AIK Solna;1,70 m;both;€800Th.;Right Winger;1999-08-04
Sebastian Larsson;AIK Solna;1,78 m;right;€600Th.;Central Midfield;1985-06-06
Sotirios Papagiannopoulos;AIK Solna;1,90 m;right;€1.00m;Centre-Back;1990-09-05
Stefan Silva;AIK Solna;1,81 m;right;€200Th.;Centre-Forward;1990-03-11
Tom Strannegård;AIK Solna;1,77 m;;€500Th.;Right Winger;2002-04-29
Yasin Ayari;AIK Solna;1,72 m;right;€50Th.;Central Midfield;2003-10-06
Zachary Elbouzedi;AIK Solna;1,85 m;right;€50Th.;Right Winger;1998-04-05
Alexander Faltsetas;BK Häcken;1,81 m;right;€200Th.;Defensive Midfield;1987-07-04
Alexander Jeremejeff;BK Häcken;1,92 m;right;€800Th.;Centre-Forward;1993-10-12
Ali Youssef;BK Häcken;1,82 m;;€400Th.;Left Winger;2000-08-05
Bénie Adama Traore;BK Häcken;1,72 m;;€1.20m;Right Winger;2002-11-30
Daleho Irandust;BK Häcken;1,85 m;left;€2.00m;Attacking Midfield;1998-06-04
Erik Friberg;BK Häcken;1,80 m;right;€200Th.;Defensive Midfield;1986-02-10
Franklin Degaulle Tebo Uchenna;BK Häcken;m;;;Centre-Back;2000-01-15
Godswill Ekpolo;BK Häcken;1,81 m;right;€1.00m;Centre-Back;1995-05-14
Gustav Berggren;BK Häcken;1,87 m;right;€1.00m;Defensive Midfield;1997-09-07
Jasse Tuominen;BK Häcken;1,87 m;right;€200Th.;Centre-Forward;1995-11-12
Johan Hammar;BK Häcken;1,97 m;right;€300Th.;Centre-Back;1994-02-22
Joona Toivio;BK Häcken;1,86 m;right;€600Th.;Centre-Back;1988-03-10
Kristoffer Lund Hansen;BK Häcken;1,84 m;left;€100Th.;Left-Back;2002-05-14
Leo Bengtsson;BK Häcken;1,79 m;right;€1.20m;Left Winger;1998-05-26
Martin Olsson;BK Häcken;1,78 m;left;€700Th.;Left-Back;1988-05-17
Oskar Sverrisson;BK Häcken;1,84 m;left;€200Th.;Left-Back;1992-11-26
Patrik Wålemark;BK Häcken;1,84 m;left;€800Th.;Right Winger;2001-10-14
Peter Abrahamsson;BK Häcken;1,90 m;;€600Th.;Goalkeeper;1988-07-18
Pontus Dahlberg;BK Häcken;1,94 m;right;€1.20m;Goalkeeper;1999-01-21
Rasmus Lindgren;BK Häcken;1,80 m;right;€200Th.;Centre-Back;1984-11-29
Samir Maarouf;BK Häcken;m;;€25Th.;Left Winger;2001-01-02
